Sample	EMT_KS_Score
BC258-Tumor	-0.0647329483940816
BC302-Tumor	-0.335528690003609
BC389-Tumor	-0.558507758931794
BC392-Tumor	-0.491203536629376
BC393-Tumor	-0.527923132443161
BC394-Tumor	-0.112143630458318
BC397-Tumor	-0.61011367737279
BC401-Tumor	-0.225099242150848
BC419-Tumor	-0.254781667268134
BC428-Tumor	-0.0293215445687478
BC17086-12-Tumor	-0.216618549260195
BC17086-24-Tumor	-0.227715626127752
BC17086-25-Tumor	-0.0159238542042584
BC17086-35-Tumor	-0.32831107903284
BIOKEY-1	-0.21418260555756
BIOKEY-2	-0.282389029231324
BIOKEY-3	-0.395434861060989
BIOKEY-4	-0.568477084085168
BIOKEY-5	-0.601542764345002
BIOKEY-6	-0.297365571995669
BIOKEY-7	-0.689868278599784
BIOKEY-8	-0.269261999278239
BIOKEY-9	0.200739805124504
BIOKEY-10	0.118007939372068
BIOKEY-11	-0.644352219415374
BIOKEY-12	-0.427417899675208
BIOKEY-13	-0.384157343919163
BIOKEY-14	-0.201687116564417
BIOKEY-15	-0.261818837964634
BIOKEY-16	-0.330476362324071
BIOKEY-17	-0.678726091663659
BIOKEY-18	-0.578130638758571
BIOKEY-19	-0.433552869000361
BIOKEY-20	-0.547500902201371
BIOKEY-21	-0.590445687477445
BIOKEY-22	-0.467836521111512
BIOKEY-23	-0.509518224467701
BIOKEY-24	-0.662802237459401
BIOKEY-25	-0.381901840490798
BIOKEY-26	-0.0849422591122339
BIOKEY-27	-0.413884879105016
BIOKEY-28	-0.28983219054493
BIOKEY-29	-0.534058101768315
BIOKEY-30	-0.711881992060628
BIOKEY-31	-0.343828942619993
Patient1-T2	-0.330341032118369
Patient2-T3	-0.333047636232407
Patient3-T6	-0.145570191266691
Patient4-T7	-0.159734752796824
TBB011	-0.30354565138939
TBB035	-0.520615301335258
TBB075	-0.485068567304222
TBB102	-0.472663298448214
TBB111	-0.399178996752075
TBB129	-0.261909058101768
TBB184	-0.482497293395886
TBB212	-0.450694695055937
TBB214	-0.310808372428726
TBB226	-0.454529050884157
TBB330	-0.386999278238903
TBB338	-0.168576326236016
gao-DCIS1	-0.564687838325514
gao-TNBC1	-0.349963911945146
gao-TNBC2	-0.352490075784915
gao-TNBC3	-0.385510645976182
pal-Patient 0001	-0.584355828220859
pal-Patient 0025	-0.461791771923493
pal-Patient 0029-7C	-0.627300613496933
pal-Patient 0029-9C	-0.656712378202815
pal-Patient 0031	-0.581919884518225
pal-Patient 0032	-0.481279321544569
pal-Patient 0040	-0.681252255503428
pal-Patient 0042	-0.596535546734031
pal-Patient 0043	-0.467836521111512
pal-Patient 0056	-0.683643089137495
pal-Patient 0064	-0.662757127390834
pal-Patient 0068	-0.678635871526525
pal-Patient 0069	-0.344144713099964
pal-Patient 0106	-0.358625045110069
pal-Patient 0114	-0.471400216528329
pal-Patient 0125	-0.548673763984121
pal-Patient 0126	-0.249594009382894
pal-Patient 0131	-0.429763623240707
pal-Patient 0135	-0.456739444243955
pal-Patient 0151	-0.61981234211476
pal-Patient 0161	-0.55237278960664
pal-Patient 0163	-0.613767592926741
pal-Patient 0167	-0.504556116925298
pal-Patient 0173	-0.564687838325514
pal-Patient 0176	-0.523006134969325
pal-Patient 0177	-0.250586430891375
pal-Patient 0178	-0.605196679898953
pal-Patient 0308	-0.627255503428365
pal-Patient 0319	-0.300974377481054
pal-Patient 0337	-0.601497654276435
pal-Patient 0360	-0.596670876939733
pal-Patient 0554	-0.121120534103212
pal-Patient 4031	-0.48493323709852
qian-41	-0.30940996030314
qian-42	0.118007939372068
qian-43	-0.319559725730783
qian-44	-0.203942619992782
qian-45	-0.406577047997113
qian-46	-0.551019487549621
qian-47	0.071183688199206
qian-48	-0.2570371706965
qian-49	-0.381946950559365
qian-50	-0.43842475640563
qian-51	-0.1981234211476
qian-52	-0.384428004330567
qian-53	-0.627255503428365
qian-54	-0.720452905088416
wu-natgen-CID3586	-0.374548899314327
wu-natgen-CID3838	0.158381450739805
wu-natgen-CID3921	-0.70448394081559
wu-natgen-CID3941	-0.682425117286178
wu-natgen-CID3948	-0.677463009743775
wu-natgen-CID3963	-0.374594009382894
wu-natgen-CID4066	-0.513081919884518
wu-natgen-CID4067	-0.698439191627571
wu-natgen-CID4290A	-0.70565680259834
wu-natgen-CID4398	0.117872609166366
wu-natgen-CID4461	-0.456919884518225
wu-natgen-CID4463	-0.687297004691447
wu-natgen-CID4465	-0.293756766510285
wu-natgen-CID4471	-0.369586791771923
wu-natgen-CID4495	-0.135916636593288
wu-natgen-CID4513	0.291185492601949
wu-natgen-CID4515	-0.367060627932154
wu-natgen-CID4523	-0.58182966438109
wu-natgen-CID4530N	-0.606414651750271
wu-natgen-CID4535	-0.556207145434861
wu-natgen-CID44041	-0.515608083724287
wu-natgen-CID44971	-0.367241068206424
wu-natgen-CID44991	-0.612459400938289
wu-natgen-CID45171	-0.633390472753519
