nci60_index,CLDN7,VIM,CDH1
1,7.958,3.581,12.805
2,5.834,14.07,3.784
3,2.325,14.549,2.378
4,2.327,13.926,3.294
5,8.455,3.164,12.84
6,2.336,14.243,3.841
7,2.335,14.348,2.309
8,2.325,14.72,2.365
9,2.312,14.514,2.371
10,2.325,14.608,3.47
11,2.329,14.571,2.313
12,9.444,3.528,12.184
13,10.081,2.993,12.192
14,9.204,4.062,10.936
15,9.595,3.204,12.556
16,9.276,3.312,12.446
17,9.084,7.851,11.106
18,2.971,12.137,9.672
19,2.325,13.385,2.371
20,2.402,10.649,2.377
21,3.019,12.906,2.323
22,2.327,11.421,2.354
23,3.794,8.482,3.624
24,2.312,14.172,2.309
25,2.314,14.4,2.334
26,2.327,14.607,12.654
27,2.319,14.41,2.309
28,2.327,14.525,2.406
29,2.325,14.525,5.575
30,2.501,13.462,7.814
31,2.325,14.34,12.289
32,2.336,14.555,2.441
33,2.325,14.314,2.309
34,nan,nan,nan
35,2.539,13.19,10.36
36,2.315,12.289,11.724
37,2.442,14.154,5.415
38,2.353,14.638,2.371
39,2.321,13.509,7.362
40,2.312,13.682,2.449
41,9.166,3.203,12.604
42,5.767,13.058,3.325
43,2.335,13.626,2.309
44,3.308,13.682,3.419
45,8.393,8.531,10.902
46,9.181,9.94,11.097
47,3.601,13.384,3.612
48,2.342,13.543,2.351
49,3.98,14.159,6.835
50,2.327,13.527,2.379
51,2.614,13.54,9.474
52,7.198,13.278,11.58
53,2.325,14.767,2.379
54,2.401,14.154,2.808
55,2.312,14.004,10.072
56,2.325,14.293,10.535
57,2.327,14.913,2.309
58,2.394,13.695,3.714
59,2.287,13.923,5.061
60,2.327,14.266,5.932
