nci60_index,ACTB,GAPDH,B2M,TBP,PPIA
1,13.969000,14.111000,11.842000,7.231000,13.647000
2,14.922000,14.436000,13.757000,7.347000,14.073000
3,14.719000,14.257000,13.722000,6.595000,13.590000
4,15.149000,14.581000,13.783000,6.688000,13.969000
5,14.356000,13.115000,13.244000,6.191000,13.934000
6,14.861000,14.713000,13.559000,6.669000,13.967000
7,15.187000,14.785000,14.030000,6.890000,14.147000
8,15.241000,14.457000,14.465000,5.941000,14.370000
9,15.150000,14.700000,13.958000,7.089000,14.129000
10,15.207000,14.731000,14.161000,6.957000,14.113000
11,14.929000,15.027000,14.437000,6.720000,13.918000
12,14.243000,14.574000,13.784000,6.098000,13.970000
13,14.705000,14.764000,11.580000,7.268000,14.320000
14,13.996000,14.562000,13.305000,7.052000,13.913000
15,13.983000,14.538000,12.203000,6.899000,13.769000
16,14.323000,14.195000,14.091000,6.604000,13.961000
17,14.180000,14.608000,13.419000,7.204000,13.895000
18,14.448000,14.486000,12.548000,6.840000,13.974000
19,14.744000,14.791000,13.591000,7.858000,14.076000
20,14.486000,14.447000,13.685000,7.959000,13.835000
21,14.147000,13.918000,13.206000,8.253000,13.743000
22,14.196000,14.433000,13.529000,7.746000,13.776000
23,13.751000,14.101000,14.120000,6.936000,14.067000
24,14.888000,14.823000,14.106000,6.723000,14.007000
25,14.673000,14.879000,12.976000,7.028000,13.927000
26,14.498000,14.722000,13.479000,6.307000,13.757000
27,14.935000,14.795000,13.825000,6.277000,14.154000
28,14.761000,14.923000,13.188000,7.461000,14.335000
29,14.730000,14.727000,12.910000,6.584000,13.941000
30,14.947000,14.893000,12.625000,6.527000,14.376000
31,14.354000,14.637000,13.227000,5.952000,13.931000
32,14.419000,15.006000,13.259000,6.343000,14.276000
33,14.500000,14.661000,13.043000,6.782000,13.677000
34,NaN,NaN,NaN,NaN,NaN
35,14.567000,14.731000,12.693000,6.223000,13.807000
36,14.831000,14.833000,13.857000,6.843000,13.971000
37,14.512000,14.936000,13.654000,6.571000,13.951000
38,14.770000,14.427000,13.962000,5.803000,14.275000
39,14.842000,14.698000,14.319000,7.061000,14.214000
40,14.727000,15.003000,12.280000,7.671000,14.022000
41,14.718000,15.166000,13.784000,6.308000,13.890000
42,14.567000,14.826000,13.239000,6.800000,14.041000
43,14.527000,14.447000,12.307000,7.331000,14.210000
44,14.580000,14.554000,12.778000,6.923000,13.578000
45,14.433000,14.698000,13.070000,6.619000,13.888000
46,14.670000,14.657000,12.609000,7.322000,13.927000
47,14.754000,14.578000,14.075000,6.181000,14.250000
48,14.387000,14.493000,10.377000,6.874000,13.440000
49,14.165000,14.394000,14.173000,6.965000,13.134000
50,14.517000,14.556000,11.058000,6.915000,13.753000
51,14.364000,14.405000,13.328000,6.699000,14.026000
52,14.309000,14.498000,13.893000,6.268000,13.811000
53,13.918000,14.675000,13.951000,6.736000,13.518000
54,15.001000,14.629000,14.148000,6.019000,14.136000
55,14.490000,14.666000,13.510000,6.376000,13.748000
56,14.392000,14.794000,13.528000,6.597000,13.424000
57,15.084000,14.827000,14.286000,6.477000,13.949000
58,14.632000,14.176000,13.634000,6.359000,13.942000
59,14.452000,14.460000,13.141000,6.405000,14.141000
60,15.149000,14.819000,13.420000,6.492000,14.201000
